 train         node      observed        predicted
     y             1   -8.829247E-01    1.778280E-01
     y             1    6.752088E-01    1.778280E-01
     y             1   -3.314303E-01    1.778280E-01
     y             1   -2.568693E-01    1.778280E-01
     y             1    6.253263E-01    1.778280E-01
     y             1   -3.817847E-02    1.778280E-01
     y             1   -5.261818E-01    1.778280E-01
     y             1    8.050149E-03    1.778280E-01
     y             1    1.517120E-01    1.778280E-01
     y             1    4.656960E-01    1.778280E-01
     y             1    8.107251E-01    1.778280E-01
     y             1   -8.150262E-01    1.778280E-01
     y             1    5.574873E-01    1.778280E-01
     y             1    2.116551E-01    1.778280E-01
     y             1    9.551683E-01    1.778280E-01
     y             1   -2.049452E-01    1.778280E-01
     y             1    5.128957E-01    1.778280E-01
     y             1   -4.025636E-01    1.778280E-01
     y             1    2.156089E-01    1.778280E-01
     y             1    4.807609E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    2.936913E-01    1.778280E-01
     y             1   -2.515267E-01    1.778280E-01
     y             1    2.113702E-01    1.778280E-01
     y             1    8.874320E-02    1.778280E-01
     y             1    4.461299E-01    1.778280E-01
     y             1    1.116634E+00    1.778280E-01
     y             1    4.242091E-01    1.778280E-01
     y             1    2.648698E-01    1.778280E-01
     y             1    1.653341E-01    1.778280E-01
     y             1    5.171621E-01    1.778280E-01
     y             1    5.727529E-01    1.778280E-01
     y             1    8.509795E-01    1.778280E-01
     y             1    3.238308E-01    1.778280E-01
     y             1    7.306890E-01    1.778280E-01
     y             1    3.080212E-01    1.778280E-01
     y             1    4.706200E-01    1.778280E-01
     y             1   -2.749603E-01    1.778280E-01
     y             1   -4.644434E-02    1.778280E-01
     y             1    5.697170E-01    1.778280E-01
     y             1    1.153496E-01    1.778280E-01
     y             1    5.141170E-02    1.778280E-01
     y             1   -4.514935E-01    1.778280E-01
     y             1    2.449071E-01    1.778280E-01
     n             1              NA    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    7.615107E-01    1.778280E-01
     y             1    4.507429E-01    1.778280E-01
     y             1    2.146460E-02    1.778280E-01
     y             1    4.695565E-01    1.778280E-01
     y             1    6.937409E-01    1.778280E-01
     y             1   -6.854272E-02    1.778280E-01
     y             1    1.084887E+00    1.778280E-01
     y             1   -4.919189E-01    1.778280E-01
     y             1    9.352631E-03    1.778280E-01
     y             1    3.780386E-01    1.778280E-01
     y             1    3.627556E-01    1.778280E-01
     y             1   -6.448838E-02    1.778280E-01
     y             1   -8.120755E-02    1.778280E-01
     y             1    9.060847E-02    1.778280E-01
     y             1    1.030896E-01    1.778280E-01
     y             1   -2.324050E-01    1.778280E-01
     y             1    2.529668E-01    1.778280E-01
     y             1   -7.643353E-01    1.778280E-01
     y             1    4.124917E-01    1.778280E-01
     y             1    6.459476E-01    1.778280E-01
     y             1   -3.678708E-01    1.778280E-01
     y             1   -3.670478E-01    1.778280E-01
     y             1   -2.780399E-01    1.778280E-01
     y             1    5.115237E-01    1.778280E-01
     y             1    4.542241E-01    1.778280E-01
     y             1    6.201882E-01    1.778280E-01
     y             1   -2.645747E-01    1.778280E-01
     y             1   -3.823039E-01    1.778280E-01
     y             1    4.741252E-01    1.778280E-01
     y             1   -3.665595E-02    1.778280E-01
     y             1   -4.466417E-01    1.778280E-01
     y             1    3.871426E-01    1.778280E-01
     y             1   -3.444681E-01    1.778280E-01
     y             1    3.355173E-01    1.778280E-01
     y             1   -5.898507E-01    1.778280E-01
     y             1    5.667702E-01    1.778280E-01
     y             1    2.299578E-01    1.778280E-01
     n             1              NA    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    2.513611E-01    1.778280E-01
     y             1   -1.060134E-01    1.778280E-01
     y             1    3.548570E-01    1.778280E-01
     y             1   -2.467854E-01    1.778280E-01
     y             1    4.457458E-01    1.778280E-01
     y             1    4.406364E-01    1.778280E-01
     y             1    4.812554E-01    1.778280E-01
     y             1    2.131366E-01    1.778280E-01
     y             1    4.343634E-01    1.778280E-01
     y             1    2.717483E-01    1.778280E-01
     y             1   -2.034167E-01    1.778280E-01
     y             1    3.788916E-01    1.778280E-01
     y             1   -4.244610E-02    1.778280E-01
     y             1    9.173109E-01    1.778280E-01
     y             1    3.041886E-01    1.778280E-01
     y             1    1.297823E-01    1.778280E-01
     y             1    6.358387E-02    1.778280E-01
