 train         node      observed        predicted
     y             1   -8.829247E-01    2.480691E-01
     y             1    6.752088E-01    2.090723E-01
     y             1   -3.314303E-01    1.711048E-01
     y             1   -2.568693E-01    2.604513E-01
     y             1    6.253263E-01    2.626333E-01
     y             1   -3.817847E-02    1.415553E-01
     y             1   -5.261818E-01   -8.299973E-02
     y             1    8.050149E-03    1.657663E-01
     y             1    1.517120E-01    9.957840E-02
     y             1    4.656960E-01    1.640450E-01
     y             1    8.107251E-01    2.453837E-01
     y             1   -8.150262E-01    1.492272E-01
     y             1    5.574873E-01    9.895011E-02
     y             1    2.116551E-01    1.900273E-01
     y             1    9.551683E-01    1.019772E-01
     y             1   -2.049452E-01    2.126251E-01
     y             1    5.128957E-01    2.880542E-01
     y             1   -4.025636E-01    1.763487E-01
     y             1    2.156089E-01    2.431077E-01
     y             1    4.807609E-01    1.897777E-01
     n             1              NA    3.333772E-01
     y             1    2.936913E-01    6.667023E-02
     y             1   -2.515267E-01    1.192550E-01
     y             1    2.113702E-01    1.046207E-01
     y             1    8.874320E-02    1.970779E-01
     y             1    4.461299E-01    1.828983E-01
     y             1    1.116634E+00    4.292609E-01
     y             1    4.242091E-01    3.475850E-01
     y             1    2.648698E-01    1.679205E-01
     y             1    1.653341E-01    2.761621E-01
     y             1    5.171621E-01    3.326938E-01
     y             1    5.727529E-01    2.611057E-01
     y             1    8.509795E-01    2.331759E-01
     y             1    3.238308E-01    2.132458E-01
     y             1    7.306890E-01    1.187942E-01
     y             1    3.080212E-01    1.225466E-01
     y             1    4.706200E-01    3.045191E-01
     y             1   -2.749603E-01    6.790200E-02
     y             1   -4.644434E-02    2.045381E-01
     y             1    5.697170E-01    6.152927E-02
     y             1    1.153496E-01    9.292341E-02
     y             1    5.141170E-02    1.752767E-01
     y             1   -4.514935E-01    7.039566E-02
     y             1    2.449071E-01    2.036050E-01
     n             1              NA    1.974202E-01
     n             1              NA   -2.076881E-02
     y             1    7.615107E-01    2.137363E-01
     y             1    4.507429E-01    1.049046E-01
     y             1    2.146460E-02    2.301917E-01
     y             1    4.695565E-01    7.777571E-02
     y             1    6.937409E-01    1.851645E-01
