"Weekday","FieldOfStudy","Race","Age","Gender","Edu","Political","SocialStatus","Religious","USAScore","UKScore","ItalyScore","ChinaScore"
7,14,"White",19,"Female",6,"Right",7,3,"Non_COVID",0.164118223756703,NA,NA
7,5,"White",35,"Female",9,NA,7,1,"COVID",NA,NA,-0.299929999454879
7,1,"White",19,"Female",5,"Moderate",6,3,"No_Bias",NA,NA,0.363572011620687
7,14,"White",18,"Female",5,"Right",5,4,"No_Bias",NA,NA,0.239095030434621
7,12,"White",55,"Female",11,"Left",6,4,"No_Bias",NA,-0.0538187610332228,NA
7,8,"White",43,"Female",12,"Left",8,1,"No_Bias",NA,NA,0.0524291245247046
7,7,"White",27,"Male",9,"Left",8,1,"No_Bias",-0.691415535963077,NA,NA
7,13,"White",50,"Female",7,"Left",7,1,"No_Bias",NA,NA,0.0446573959117047
7,2,"Asian",26,"Female",7,"Moderate",8,2,"No_Bias",NA,-0.473260437169988,NA
7,11,"Other",20,"Male",7,"Moderate",7,4,"No_Bias",NA,NA,0.104216140998862
7,12,"Other",23,"Female",6,"Moderate",2,4,"COVID",NA,NA,-0.0655595100618619
7,14,"White",16,"Female",3,"Moderate",7,1,"Non_COVID",NA,NA,NA
7,8,"Asian",21,"Female",4,"Moderate",5,1,"No_Bias",NA,NA,0.506499998202144
7,14,"White",26,"Male",9,"Left",7,2,"No_Bias",NA,0.7453310498709,NA
7,14,"White",22,"Female",4,"Left",6,1,"COVID",NA,-0.0972044515505869,NA
7,11,"White",20,"Female",7,"Moderate",4,2,"No_Bias",0.637331409458454,NA,NA
7,6,"Black",18,"Male",5,"Left",4,2,"No_Bias",0.467810447050352,NA,NA
7,14,"White",21,"Male",4,"Moderate",4,3,"No_Bias",0.0031596613451621,NA,NA
7,11,"Other",35,"Female",7,"Moderate",8,3,"No_Bias",0.619942346894539,NA,NA
7,12,"White",57,"Male",13,"Left",7,1,"No_Bias",NA,-0.342615796436773,NA
7,2,"White",18,"Female",4,"Right",6,4,NA,NA,NA,-0.433145399197311
7,8,"Asian",19,"Male",4,"Moderate",7,1,"No_Bias",NA,-0.454444510727347,NA
7,15,"White",20,"Female",5,"Moderate",3,1,"No_Bias",NA,0.00121012303281915,NA
7,9,"White",27,"Female",7,"Moderate",7,2,"No_Bias",NA,NA,0.460782224891001
7,11,"White",21,"Female",5,"Moderate",5,1,"No_Bias",NA,0.797803062256813,NA
7,11,"White",30,"Female",5,NA,4,2,"No_Bias",NA,NA,0.863037529659171
7,14,"Other",99,"Male",1,"Right",7,4,"COVID",0.0638700480720102,NA,NA
7,10,"White",19,"Female",5,"Right",10,3,"No_Bias",NA,-0.206942340513952,NA
7,8,"White",58,"Female",9,NA,5,2,"No_Bias",-0.417248950286334,NA,NA
7,8,"White",26,"Female",7,"Moderate",5,4,"No_Bias",0.443417386267047,NA,NA
7,8,"White",49,"Female",7,"Moderate",4,3,"No_Bias",NA,0.962666068628601,NA
1,10,"White",19,"Female",5,"Right",10,3,"No_Bias",-0.54906241057128,NA,NA
1,14,"White",20,"Female",4,"Right",6,3,"COVID",-0.00377653248683536,NA,NA
1,5,"White",63,"Female",13,"Left",4,3,"No_Bias",NA,NA,0.182459433674947
1,11,"White",26,"Female",6,"Left",8,2,"COVID",NA,NA,-0.439007067484109
1,14,"Other",25,"Female",9,"Moderate",6,2,"No_Bias",NA,NA,0.693462697100667
1,12,"White",77,"Female",7,"Left",4,1,"No_Bias",NA,0.298284649352329,NA
1,15,NA,24,NA,5,"Left",1,1,"No_Bias",0.234664439835329,NA,NA
1,9,"White",44,"Female",7,"Moderate",6,1,"No_Bias",0.669816318802316,NA,NA
1,9,"White",18,"Male",5,"Left",9,1,"No_Bias",NA,0.0332367192216871,NA
1,8,"White",23,"Female",5,"Left",4,2,"No_Bias",-0.261755238787588,NA,NA
1,4,"Other",17,"Male",4,"Moderate",7,1,"No_Bias",NA,NA,0.40519731860556
1,9,"White",44,"Female",9,"Left",8,1,"No_Bias",NA,NA,-0.207004411086154
1,4,"White",26,"Male",4,"Left",6,1,"No_Bias",NA,0.349622814273216,NA
1,4,"White",25,"Male",6,"Moderate",6,1,NA,NA,NA,-0.182029035883659
1,9,"White",25,NA,7,"Left",4,1,NA,NA,0.0432890942822286,NA
1,13,"White",34,"Male",5,"Left",9,3,"COVID",NA,0.16765544331307,NA
1,11,"White",22,"Female",9,"Moderate",5,1,"No_Bias",NA,NA,0.104461927292444
1,2,"White",29,"Male",7,"Moderate",7,1,"No_Bias",NA,NA,0.18037866207988
1,11,"White",25,"Female",8,"Left",7,1,"No_Bias",NA,-0.0279081692262185,NA
1,14,"White",22,"Female",8,"Moderate",6,2,"COVID",NA,0.491524908891823,NA
1,11,"Other",25,"Male",5,"Left",6,1,"No_Bias",NA,NA,0.190947336042871
1,11,"White",68,"Female",13,"Left",8,2,"COVID",NA,-0.323414274577966,NA
1,11,"White",41,"Female",9,"Left",5,1,"No_Bias",NA,NA,-0.088088963065421
1,10,"White",58,"Male",11,"Right",10,4,"No_Bias",0.127376935229602,NA,NA
1,12,"White",33,"Male",7,"Right",7,2,"No_Bias",NA,NA,0.016494630137656
1,5,"White",75,"Female",9,"Left",5,2,"No_Bias",NA,NA,-0.225260446580994
1,14,"White",31,"Female",8,"Left",5,1,"No_Bias",0.444525509378003,NA,NA
1,8,"Black",21,"Female",5,"Moderate",1,3,"No_Bias",NA,-0.33835652962928,NA
1,2,"White",21,"Male",5,NA,6,3,"No_Bias",NA,NA,0.697644175923273
1,11,"White",28,"Female",13,"Left",9,1,"No_Bias",NA,NA,-0.443467767624516
1,4,"White",19,"Male",5,NA,7,4,"No_Bias",0.376687042442065,NA,NA
1,14,"White",52,"Female",13,"Left",5,4,"No_Bias",NA,-7.91020895282466e-05,NA
1,8,"White",60,"Female",12,"Moderate",10,4,"Non_COVID",NA,NA,-0.532396873256342
1,10,"White",48,"Female",11,NA,8,2,"No_Bias",NA,NA,0.0398434177539323
1,2,"White",19,"Male",4,"Right",5,4,"No_Bias",NA,NA,-0.649310548350979
1,9,"White",27,"Female",8,"Left",9,1,"No_Bias",0.213124882055845,NA,NA
2,6,"White",21,"Male",4,"Moderate",7,1,"No_Bias",-0.315867624953616,NA,NA
